1039: done 1 games, mean reward -20.000, speed 438.31 f/s, eps 0.99
2138: done 2 games, mean reward -19.500, speed 575.15 f/s, eps 0.98
3073: done 3 games, mean reward -20.000, speed 574.24 f/s, eps 0.97
3971: done 4 games, mean reward -20.250, speed 573.93 f/s, eps 0.96
4756: done 5 games, mean reward -20.400, speed 576.46 f/s, eps 0.95
5606: done 6 games, mean reward -20.500, speed 573.39 f/s, eps 0.94
6392: done 7 games, mean reward -20.571, speed 574.68 f/s, eps 0.94
7336: done 8 games, mean reward -20.500, speed 573.11 f/s, eps 0.93
8231: done 9 games, mean reward -20.444, speed 574.60 f/s, eps 0.92
9184: done 10 games, mean reward -20.400, speed 571.82 f/s, eps 0.91
10073: done 11 games, mean reward -20.364, speed 468.59 f/s, eps 0.90
11320: done 12 games, mean reward -20.167, speed 156.19 f/s, eps 0.89
12214: done 13 games, mean reward -20.154, speed 156.56 f/s, eps 0.88
13092: done 14 games, mean reward -20.214, speed 156.17 f/s, eps 0.87
13965: done 15 games, mean reward -20.267, speed 156.28 f/s, eps 0.86
14945: done 16 games, mean reward -20.250, speed 156.71 f/s, eps 0.85
15859: done 17 games, mean reward -20.235, speed 156.20 f/s, eps 0.84
16724: done 18 games, mean reward -20.222, speed 155.48 f/s, eps 0.83
17633: done 19 games, mean reward -20.263, speed 155.86 f/s, eps 0.82
18395: done 20 games, mean reward -20.300, speed 155.59 f/s, eps 0.82
19293: done 21 games, mean reward -20.333, speed 155.22 f/s, eps 0.81
20170: done 22 games, mean reward -20.364, speed 155.74 f/s, eps 0.80
21131: done 23 games, mean reward -20.391, speed 155.56 f/s, eps 0.79
22041: done 24 games, mean reward -20.417, speed 155.60 f/s, eps 0.78
23008: done 25 games, mean reward -20.440, speed 155.88 f/s, eps 0.77
24026: done 26 games, mean reward -20.385, speed 155.40 f/s, eps 0.76
25027: done 27 games, mean reward -20.407, speed 155.67 f/s, eps 0.75
26147: done 28 games, mean reward -20.321, speed 155.41 f/s, eps 0.74
27001: done 29 games, mean reward -20.310, speed 155.37 f/s, eps 0.73
27855: done 30 games, mean reward -20.300, speed 155.49 f/s, eps 0.72
28926: done 31 games, mean reward -20.290, speed 155.88 f/s, eps 0.71
29952: done 32 games, mean reward -20.312, speed 155.33 f/s, eps 0.70
31069: done 33 games, mean reward -20.273, speed 155.73 f/s, eps 0.69
32020: done 34 games, mean reward -20.265, speed 155.66 f/s, eps 0.68
32811: done 35 games, mean reward -20.286, speed 155.79 f/s, eps 0.67
33845: done 36 games, mean reward -20.278, speed 155.54 f/s, eps 0.66
34727: done 37 games, mean reward -20.297, speed 155.55 f/s, eps 0.65
35766: done 38 games, mean reward -20.289, speed 156.04 f/s, eps 0.64
36776: done 39 games, mean reward -20.282, speed 155.39 f/s, eps 0.63
37713: done 40 games, mean reward -20.300, speed 155.04 f/s, eps 0.62
38590: done 41 games, mean reward -20.317, speed 155.87 f/s, eps 0.61
39633: done 42 games, mean reward -20.310, speed 155.82 f/s, eps 0.60
40618: done 43 games, mean reward -20.326, speed 155.67 f/s, eps 0.59
41620: done 44 games, mean reward -20.295, speed 155.59 f/s, eps 0.58
42580: done 45 games, mean reward -20.289, speed 155.77 f/s, eps 0.57
43414: done 46 games, mean reward -20.283, speed 155.24 f/s, eps 0.57
44263: done 47 games, mean reward -20.298, speed 155.68 f/s, eps 0.56
45193: done 48 games, mean reward -20.271, speed 155.50 f/s, eps 0.55
46319: done 49 games, mean reward -20.265, speed 155.39 f/s, eps 0.54
47141: done 50 games, mean reward -20.280, speed 155.57 f/s, eps 0.53
47973: done 51 games, mean reward -20.275, speed 155.35 f/s, eps 0.52
48886: done 52 games, mean reward -20.269, speed 155.87 f/s, eps 0.51
49937: done 53 games, mean reward -20.245, speed 155.98 f/s, eps 0.50
51054: done 54 games, mean reward -20.259, speed 155.36 f/s, eps 0.49
52319: done 55 games, mean reward -20.218, speed 155.74 f/s, eps 0.48
53145: done 56 games, mean reward -20.232, speed 155.33 f/s, eps 0.47
53951: done 57 games, mean reward -20.246, speed 155.41 f/s, eps 0.46
55303: done 58 games, mean reward -20.207, speed 155.42 f/s, eps 0.45
56339: done 59 games, mean reward -20.203, speed 155.23 f/s, eps 0.44
57370: done 60 games, mean reward -20.167, speed 155.22 f/s, eps 0.43
58403: done 61 games, mean reward -20.148, speed 155.37 f/s, eps 0.42
59575: done 62 games, mean reward -20.145, speed 154.91 f/s, eps 0.40
60740: done 63 games, mean reward -20.159, speed 155.48 f/s, eps 0.39
62079: done 64 games, mean reward -20.141, speed 155.40 f/s, eps 0.38
63241: done 65 games, mean reward -20.108, speed 155.42 f/s, eps 0.37
64260: done 66 games, mean reward -20.106, speed 155.29 f/s, eps 0.36
65970: done 67 games, mean reward -20.060, speed 155.52 f/s, eps 0.34
66868: done 68 games, mean reward -20.074, speed 155.17 f/s, eps 0.33
68208: done 69 games, mean reward -20.058, speed 155.64 f/s, eps 0.32
69369: done 70 games, mean reward -20.043, speed 155.58 f/s, eps 0.31
71426: done 71 games, mean reward -19.930, speed 155.18 f/s, eps 0.29
72903: done 72 games, mean reward -19.889, speed 155.60 f/s, eps 0.27
75189: done 73 games, mean reward -19.836, speed 155.33 f/s, eps 0.25
76819: done 74 games, mean reward -19.797, speed 155.64 f/s, eps 0.23
78953: done 75 games, mean reward -19.707, speed 155.50 f/s, eps 0.21
80628: done 76 games, mean reward -19.658, speed 154.79 f/s, eps 0.19
82545: done 77 games, mean reward -19.623, speed 155.52 f/s, eps 0.17
84363: done 78 games, mean reward -19.551, speed 155.67 f/s, eps 0.16
86174: done 79 games, mean reward -19.506, speed 155.44 f/s, eps 0.14
87778: done 80 games, mean reward -19.462, speed 155.39 f/s, eps 0.12
89405: done 81 games, mean reward -19.444, speed 155.36 f/s, eps 0.11
91116: done 82 games, mean reward -19.402, speed 155.22 f/s, eps 0.09
92942: done 83 games, mean reward -19.361, speed 155.62 f/s, eps 0.07
95331: done 84 games, mean reward -19.298, speed 155.34 f/s, eps 0.05
96994: done 85 games, mean reward -19.224, speed 155.17 f/s, eps 0.03
98140: done 86 games, mean reward -19.221, speed 155.37 f/s, eps 0.02
100182: done 87 games, mean reward -19.184, speed 155.45 f/s, eps 0.02
102236: done 88 games, mean reward -19.136, speed 155.28 f/s, eps 0.02
104289: done 89 games, mean reward -19.146, speed 155.18 f/s, eps 0.02
106601: done 90 games, mean reward -19.122, speed 155.18 f/s, eps 0.02
108151: done 91 games, mean reward -19.110, speed 155.12 f/s, eps 0.02
109723: done 92 games, mean reward -19.098, speed 155.01 f/s, eps 0.02
111690: done 93 games, mean reward -19.043, speed 154.93 f/s, eps 0.02
114344: done 94 games, mean reward -18.968, speed 155.12 f/s, eps 0.02
116479: done 95 games, mean reward -18.884, speed 155.12 f/s, eps 0.02
118736: done 96 games, mean reward -18.854, speed 155.17 f/s, eps 0.02
120669: done 97 games, mean reward -18.794, speed 155.28 f/s, eps 0.02
122617: done 98 games, mean reward -18.765, speed 155.23 f/s, eps 0.02
