896: done 1 games, mean reward -21.000, speed 410.82 f/s, eps 0.99
1873: done 2 games, mean reward -20.500, speed 549.04 f/s, eps 0.98
2703: done 3 games, mean reward -20.667, speed 549.47 f/s, eps 0.97
3564: done 4 games, mean reward -20.500, speed 549.89 f/s, eps 0.96
4476: done 5 games, mean reward -20.400, speed 550.95 f/s, eps 0.96
5492: done 6 games, mean reward -20.333, speed 550.99 f/s, eps 0.95
6464: done 7 games, mean reward -20.286, speed 549.81 f/s, eps 0.94
7283: done 8 games, mean reward -20.375, speed 549.29 f/s, eps 0.93
8177: done 9 games, mean reward -20.333, speed 549.06 f/s, eps 0.92
8935: done 10 games, mean reward -20.400, speed 548.28 f/s, eps 0.91
9695: done 11 games, mean reward -20.455, speed 548.02 f/s, eps 0.90
10593: done 12 games, mean reward -20.500, speed 180.24 f/s, eps 0.89
11498: done 13 games, mean reward -20.538, speed 130.12 f/s, eps 0.89
12513: done 14 games, mean reward -20.429, speed 128.76 f/s, eps 0.87
13496: done 15 games, mean reward -20.400, speed 127.65 f/s, eps 0.87
14329: done 16 games, mean reward -20.375, speed 126.57 f/s, eps 0.86
15169: done 17 games, mean reward -20.353, speed 125.54 f/s, eps 0.85
16109: done 18 games, mean reward -20.389, speed 124.29 f/s, eps 0.84
17034: done 19 games, mean reward -20.368, speed 123.15 f/s, eps 0.83
17858: done 20 games, mean reward -20.400, speed 122.06 f/s, eps 0.82
18912: done 21 games, mean reward -20.429, speed 120.89 f/s, eps 0.81
19750: done 22 games, mean reward -20.409, speed 119.80 f/s, eps 0.80
20594: done 23 games, mean reward -20.435, speed 120.26 f/s, eps 0.79
21351: done 24 games, mean reward -20.458, speed 119.06 f/s, eps 0.79
22339: done 25 games, mean reward -20.440, speed 117.94 f/s, eps 0.78
23311: done 26 games, mean reward -20.423, speed 116.73 f/s, eps 0.77
24640: done 27 games, mean reward -20.333, speed 115.63 f/s, eps 0.75
25678: done 28 games, mean reward -20.321, speed 114.56 f/s, eps 0.74
26572: done 29 games, mean reward -20.310, speed 113.74 f/s, eps 0.73
27514: done 30 games, mean reward -20.333, speed 112.71 f/s, eps 0.72
28549: done 31 games, mean reward -20.323, speed 112.01 f/s, eps 0.71
29463: done 32 games, mean reward -20.312, speed 111.04 f/s, eps 0.71
30403: done 33 games, mean reward -20.303, speed 109.95 f/s, eps 0.70
31524: done 34 games, mean reward -20.265, speed 109.26 f/s, eps 0.68
32667: done 35 games, mean reward -20.229, speed 108.15 f/s, eps 0.67
33848: done 36 games, mean reward -20.194, speed 107.07 f/s, eps 0.66
34934: done 37 games, mean reward -20.216, speed 106.23 f/s, eps 0.65
36109: done 38 games, mean reward -20.237, speed 105.21 f/s, eps 0.64
37429: done 39 games, mean reward -20.205, speed 104.02 f/s, eps 0.63
38364: done 40 games, mean reward -20.225, speed 103.44 f/s, eps 0.62
