762: done 1 games, mean reward -21.000, speed 304.80 f/s, eps 0.99
1859: done 2 games, mean reward -20.500, speed 394.87 f/s, eps 0.98
2786: done 3 games, mean reward -20.333, speed 395.61 f/s, eps 0.97
3914: done 4 games, mean reward -20.250, speed 497.37 f/s, eps 0.96
4903: done 5 games, mean reward -20.200, speed 573.83 f/s, eps 0.95
6016: done 6 games, mean reward -20.000, speed 573.68 f/s, eps 0.94
7119: done 7 games, mean reward -19.857, speed 574.58 f/s, eps 0.93
7958: done 8 games, mean reward -20.000, speed 573.99 f/s, eps 0.92
8804: done 9 games, mean reward -20.111, speed 570.16 f/s, eps 0.91
9622: done 10 games, mean reward -20.200, speed 571.24 f/s, eps 0.90
10610: done 11 games, mean reward -20.182, speed 204.67 f/s, eps 0.89
11610: done 12 games, mean reward -20.167, speed 148.89 f/s, eps 0.88
12435: done 13 games, mean reward -20.231, speed 149.04 f/s, eps 0.88
13299: done 14 games, mean reward -20.214, speed 149.41 f/s, eps 0.87
14160: done 15 games, mean reward -20.200, speed 148.40 f/s, eps 0.86
15099: done 16 games, mean reward -20.250, speed 149.08 f/s, eps 0.85
16004: done 17 games, mean reward -20.294, speed 147.72 f/s, eps 0.84
16783: done 18 games, mean reward -20.333, speed 148.65 f/s, eps 0.83
17793: done 19 games, mean reward -20.316, speed 148.98 f/s, eps 0.82
18743: done 20 games, mean reward -20.300, speed 148.51 f/s, eps 0.81
19622: done 21 games, mean reward -20.286, speed 148.75 f/s, eps 0.80
20578: done 22 games, mean reward -20.273, speed 148.95 f/s, eps 0.79
21440: done 23 games, mean reward -20.261, speed 148.30 f/s, eps 0.79
22196: done 24 games, mean reward -20.292, speed 149.35 f/s, eps 0.78
22997: done 25 games, mean reward -20.320, speed 148.72 f/s, eps 0.77
23915: done 26 games, mean reward -20.308, speed 147.70 f/s, eps 0.76
24957: done 27 games, mean reward -20.222, speed 149.12 f/s, eps 0.75
25823: done 28 games, mean reward -20.214, speed 148.22 f/s, eps 0.74
26644: done 29 games, mean reward -20.241, speed 148.90 f/s, eps 0.73
27583: done 30 games, mean reward -20.233, speed 148.79 f/s, eps 0.72
28496: done 31 games, mean reward -20.226, speed 148.30 f/s, eps 0.72
29468: done 32 games, mean reward -20.219, speed 148.35 f/s, eps 0.71
30333: done 33 games, mean reward -20.212, speed 148.09 f/s, eps 0.70
31209: done 34 games, mean reward -20.235, speed 148.33 f/s, eps 0.69
32264: done 35 games, mean reward -20.200, speed 149.08 f/s, eps 0.68
33279: done 36 games, mean reward -20.194, speed 148.70 f/s, eps 0.67
34214: done 37 games, mean reward -20.216, speed 147.98 f/s, eps 0.66
35060: done 38 games, mean reward -20.237, speed 148.97 f/s, eps 0.65
35866: done 39 games, mean reward -20.256, speed 148.65 f/s, eps 0.64
36715: done 40 games, mean reward -20.275, speed 148.45 f/s, eps 0.63
37604: done 41 games, mean reward -20.268, speed 147.84 f/s, eps 0.62
38561: done 42 games, mean reward -20.286, speed 149.05 f/s, eps 0.61
39317: done 43 games, mean reward -20.302, speed 147.72 f/s, eps 0.61
40410: done 44 games, mean reward -20.295, speed 147.93 f/s, eps 0.60
41535: done 45 games, mean reward -20.289, speed 148.61 f/s, eps 0.58
42480: done 46 games, mean reward -20.283, speed 148.72 f/s, eps 0.58
43405: done 47 games, mean reward -20.277, speed 147.76 f/s, eps 0.57
44382: done 48 games, mean reward -20.271, speed 149.20 f/s, eps 0.56
45219: done 49 games, mean reward -20.265, speed 147.68 f/s, eps 0.55
46034: done 50 games, mean reward -20.280, speed 148.47 f/s, eps 0.54
46811: done 51 games, mean reward -20.294, speed 148.34 f/s, eps 0.53
47837: done 52 games, mean reward -20.308, speed 148.80 f/s, eps 0.52
48644: done 53 games, mean reward -20.321, speed 148.47 f/s, eps 0.51
49713: done 54 games, mean reward -20.315, speed 148.37 f/s, eps 0.50
50910: done 55 games, mean reward -20.273, speed 148.75 f/s, eps 0.49
51945: done 56 games, mean reward -20.250, speed 148.86 f/s, eps 0.48
52945: done 57 games, mean reward -20.263, speed 148.70 f/s, eps 0.47
54026: done 58 games, mean reward -20.241, speed 148.53 f/s, eps 0.46
54861: done 59 games, mean reward -20.254, speed 149.21 f/s, eps 0.45
56093: done 60 games, mean reward -20.233, speed 148.96 f/s, eps 0.44
57204: done 61 games, mean reward -20.213, speed 148.14 f/s, eps 0.43
58102: done 62 games, mean reward -20.226, speed 148.47 f/s, eps 0.42
59008: done 63 games, mean reward -20.238, speed 148.12 f/s, eps 0.41
59841: done 64 games, mean reward -20.234, speed 149.28 f/s, eps 0.40
60619: done 65 games, mean reward -20.246, speed 148.45 f/s, eps 0.39
61606: done 66 games, mean reward -20.258, speed 148.68 f/s, eps 0.38
62624: done 67 games, mean reward -20.254, speed 148.99 f/s, eps 0.37
63595: done 68 games, mean reward -20.265, speed 149.38 f/s, eps 0.36
64485: done 69 games, mean reward -20.275, speed 148.85 f/s, eps 0.36
65367: done 70 games, mean reward -20.271, speed 148.82 f/s, eps 0.35
66339: done 71 games, mean reward -20.268, speed 148.65 f/s, eps 0.34
67189: done 72 games, mean reward -20.278, speed 149.25 f/s, eps 0.33
67969: done 73 games, mean reward -20.288, speed 148.64 f/s, eps 0.32
68942: done 74 games, mean reward -20.284, speed 148.70 f/s, eps 0.31
69840: done 75 games, mean reward -20.293, speed 148.75 f/s, eps 0.30
70680: done 76 games, mean reward -20.289, speed 149.04 f/s, eps 0.29
71678: done 77 games, mean reward -20.286, speed 148.57 f/s, eps 0.28
72512: done 78 games, mean reward -20.282, speed 148.03 f/s, eps 0.27
73287: done 79 games, mean reward -20.291, speed 149.90 f/s, eps 0.27
74065: done 80 games, mean reward -20.300, speed 148.39 f/s, eps 0.26
74938: done 81 games, mean reward -20.309, speed 148.50 f/s, eps 0.25
76015: done 82 games, mean reward -20.317, speed 148.54 f/s, eps 0.24
76795: done 83 games, mean reward -20.325, speed 149.54 f/s, eps 0.23
77904: done 84 games, mean reward -20.298, speed 148.12 f/s, eps 0.22
78855: done 85 games, mean reward -20.294, speed 149.18 f/s, eps 0.21
79692: done 86 games, mean reward -20.302, speed 148.04 f/s, eps 0.20
80651: done 87 games, mean reward -20.310, speed 148.17 f/s, eps 0.19
81517: done 88 games, mean reward -20.318, speed 148.15 f/s, eps 0.18
82740: done 89 games, mean reward -20.315, speed 148.98 f/s, eps 0.17
83973: done 90 games, mean reward -20.322, speed 149.00 f/s, eps 0.16
85132: done 91 games, mean reward -20.330, speed 148.41 f/s, eps 0.15
86351: done 92 games, mean reward -20.326, speed 149.02 f/s, eps 0.14
87548: done 93 games, mean reward -20.333, speed 148.79 f/s, eps 0.12
88703: done 94 games, mean reward -20.340, speed 148.43 f/s, eps 0.11
89774: done 95 games, mean reward -20.337, speed 149.16 f/s, eps 0.10
90790: done 96 games, mean reward -20.344, speed 148.79 f/s, eps 0.09
92299: done 97 games, mean reward -20.330, speed 148.81 f/s, eps 0.08
93516: done 98 games, mean reward -20.316, speed 148.00 f/s, eps 0.06
95037: done 99 games, mean reward -20.313, speed 148.78 f/s, eps 0.05
96178: done 100 games, mean reward -20.300, speed 148.98 f/s, eps 0.04
98073: done 101 games, mean reward -20.270, speed 148.81 f/s, eps 0.02
99451: done 102 games, mean reward -20.280, speed 148.30 f/s, eps 0.02
100852: done 103 games, mean reward -20.270, speed 148.63 f/s, eps 0.02
102136: done 104 games, mean reward -20.260, speed 148.43 f/s, eps 0.02
104225: done 105 games, mean reward -20.260, speed 148.43 f/s, eps 0.02
106168: done 106 games, mean reward -20.270, speed 148.76 f/s, eps 0.02
107836: done 107 games, mean reward -20.290, speed 148.22 f/s, eps 0.02
109232: done 108 games, mean reward -20.260, speed 148.57 f/s, eps 0.02
111072: done 109 games, mean reward -20.220, speed 148.69 f/s, eps 0.02
112575: done 110 games, mean reward -20.210, speed 148.36 f/s, eps 0.02
114353: done 111 games, mean reward -20.200, speed 148.36 f/s, eps 0.02
116185: done 112 games, mean reward -20.190, speed 148.66 f/s, eps 0.02
117793: done 113 games, mean reward -20.170, speed 148.51 f/s, eps 0.02
119181: done 114 games, mean reward -20.180, speed 148.36 f/s, eps 0.02
120792: done 115 games, mean reward -20.170, speed 148.58 f/s, eps 0.02
122420: done 116 games, mean reward -20.160, speed 148.21 f/s, eps 0.02
124521: done 117 games, mean reward -20.110, speed 148.53 f/s, eps 0.02
126574: done 118 games, mean reward -20.090, speed 148.61 f/s, eps 0.02
128758: done 119 games, mean reward -20.050, speed 148.46 f/s, eps 0.02
130790: done 120 games, mean reward -20.050, speed 148.39 f/s, eps 0.02
131990: done 121 games, mean reward -20.060, speed 148.52 f/s, eps 0.02
133605: done 122 games, mean reward -20.050, speed 148.12 f/s, eps 0.02
135634: done 123 games, mean reward -20.030, speed 148.58 f/s, eps 0.02
137286: done 124 games, mean reward -20.020, speed 148.82 f/s, eps 0.02
139204: done 125 games, mean reward -20.000, speed 148.25 f/s, eps 0.02
141165: done 126 games, mean reward -19.980, speed 148.70 f/s, eps 0.02
142579: done 127 games, mean reward -20.000, speed 148.57 f/s, eps 0.02
145039: done 128 games, mean reward -19.970, speed 148.24 f/s, eps 0.02
146534: done 129 games, mean reward -19.960, speed 148.53 f/s, eps 0.02
148999: done 130 games, mean reward -19.900, speed 148.62 f/s, eps 0.02
150605: done 131 games, mean reward -19.900, speed 148.09 f/s, eps 0.02
152563: done 132 games, mean reward -19.880, speed 148.74 f/s, eps 0.02
153903: done 133 games, mean reward -19.860, speed 147.98 f/s, eps 0.02
156100: done 134 games, mean reward -19.810, speed 148.88 f/s, eps 0.02
157674: done 135 games, mean reward -19.810, speed 148.46 f/s, eps 0.02
159495: done 136 games, mean reward -19.790, speed 148.55 f/s, eps 0.02
161425: done 137 games, mean reward -19.740, speed 148.24 f/s, eps 0.02
163598: done 138 games, mean reward -19.690, speed 148.66 f/s, eps 0.02
166117: done 139 games, mean reward -19.600, speed 148.33 f/s, eps 0.02
167943: done 140 games, mean reward -19.600, speed 148.57 f/s, eps 0.02
170278: done 141 games, mean reward -19.530, speed 148.62 f/s, eps 0.02
172668: done 142 games, mean reward -19.500, speed 148.42 f/s, eps 0.02
174933: done 143 games, mean reward -19.450, speed 148.46 f/s, eps 0.02
177176: done 144 games, mean reward -19.380, speed 148.69 f/s, eps 0.02
