898: done 1 games, mean reward -21.000, speed 424.53 f/s, eps 0.99
1862: done 2 games, mean reward -20.500, speed 576.34 f/s, eps 0.98
2784: done 3 games, mean reward -20.667, speed 575.20 f/s, eps 0.97
3545: done 4 games, mean reward -20.750, speed 573.56 f/s, eps 0.96
4546: done 5 games, mean reward -20.400, speed 574.09 f/s, eps 0.95
5382: done 6 games, mean reward -20.333, speed 572.62 f/s, eps 0.95
6139: done 7 games, mean reward -20.429, speed 573.45 f/s, eps 0.94
6899: done 8 games, mean reward -20.500, speed 574.01 f/s, eps 0.93
7793: done 9 games, mean reward -20.444, speed 574.61 f/s, eps 0.92
8817: done 10 games, mean reward -20.200, speed 574.92 f/s, eps 0.91
9714: done 11 games, mean reward -20.273, speed 574.89 f/s, eps 0.90
10518: done 12 games, mean reward -20.333, speed 211.06 f/s, eps 0.89
11499: done 13 games, mean reward -20.385, speed 156.39 f/s, eps 0.89
12390: done 14 games, mean reward -20.357, speed 156.63 f/s, eps 0.88
13337: done 15 games, mean reward -20.333, speed 156.82 f/s, eps 0.87
14451: done 16 games, mean reward -20.188, speed 156.31 f/s, eps 0.86
15343: done 17 games, mean reward -20.176, speed 156.67 f/s, eps 0.85
16176: done 18 games, mean reward -20.222, speed 156.72 f/s, eps 0.84
17104: done 19 games, mean reward -20.211, speed 156.20 f/s, eps 0.83
18108: done 20 games, mean reward -20.200, speed 156.63 f/s, eps 0.82
19027: done 21 games, mean reward -20.190, speed 156.28 f/s, eps 0.81
19940: done 22 games, mean reward -20.182, speed 155.75 f/s, eps 0.80
20849: done 23 games, mean reward -20.174, speed 155.86 f/s, eps 0.79
21729: done 24 games, mean reward -20.167, speed 156.31 f/s, eps 0.78
22766: done 25 games, mean reward -20.160, speed 156.22 f/s, eps 0.77
23706: done 26 games, mean reward -20.192, speed 156.21 f/s, eps 0.76
24462: done 27 games, mean reward -20.222, speed 156.36 f/s, eps 0.76
25384: done 28 games, mean reward -20.214, speed 156.04 f/s, eps 0.75
26440: done 29 games, mean reward -20.172, speed 155.72 f/s, eps 0.74
27274: done 30 games, mean reward -20.167, speed 156.50 f/s, eps 0.73
28262: done 31 games, mean reward -20.161, speed 156.20 f/s, eps 0.72
29172: done 32 games, mean reward -20.188, speed 156.39 f/s, eps 0.71
30008: done 33 games, mean reward -20.182, speed 155.66 f/s, eps 0.70
30966: done 34 games, mean reward -20.176, speed 155.95 f/s, eps 0.69
31919: done 35 games, mean reward -20.171, speed 156.23 f/s, eps 0.68
32920: done 36 games, mean reward -20.167, speed 156.16 f/s, eps 0.67
33843: done 37 games, mean reward -20.189, speed 155.99 f/s, eps 0.66
34678: done 38 games, mean reward -20.184, speed 155.86 f/s, eps 0.65
35924: done 39 games, mean reward -20.103, speed 156.11 f/s, eps 0.64
37463: done 40 games, mean reward -20.000, speed 155.12 f/s, eps 0.63
38764: done 41 games, mean reward -19.976, speed 155.77 f/s, eps 0.61
40389: done 42 games, mean reward -19.952, speed 155.73 f/s, eps 0.60
41843: done 43 games, mean reward -19.884, speed 155.80 f/s, eps 0.58
42907: done 44 games, mean reward -19.886, speed 155.99 f/s, eps 0.57
44409: done 45 games, mean reward -19.867, speed 155.71 f/s, eps 0.56
45941: done 46 games, mean reward -19.761, speed 155.53 f/s, eps 0.54
47254: done 47 games, mean reward -19.745, speed 155.47 f/s, eps 0.53
48338: done 48 games, mean reward -19.750, speed 155.51 f/s, eps 0.52
49708: done 49 games, mean reward -19.694, speed 155.38 f/s, eps 0.50
51467: done 50 games, mean reward -19.640, speed 155.65 f/s, eps 0.49
52949: done 51 games, mean reward -19.627, speed 155.46 f/s, eps 0.47
54554: done 52 games, mean reward -19.538, speed 155.54 f/s, eps 0.45
55824: done 53 games, mean reward -19.547, speed 155.82 f/s, eps 0.44
57377: done 54 games, mean reward -19.481, speed 155.73 f/s, eps 0.43
59349: done 55 games, mean reward -19.400, speed 154.50 f/s, eps 0.41
61234: done 56 games, mean reward -19.321, speed 155.45 f/s, eps 0.39
62824: done 57 games, mean reward -19.333, speed 155.44 f/s, eps 0.37
64925: done 58 games, mean reward -19.276, speed 155.57 f/s, eps 0.35
66157: done 59 games, mean reward -19.305, speed 155.39 f/s, eps 0.34
67944: done 60 games, mean reward -19.250, speed 155.21 f/s, eps 0.32
69308: done 61 games, mean reward -19.246, speed 155.32 f/s, eps 0.31
71307: done 62 games, mean reward -19.161, speed 155.34 f/s, eps 0.29
73314: done 63 games, mean reward -19.079, speed 155.49 f/s, eps 0.27
75497: done 64 games, mean reward -19.016, speed 155.60 f/s, eps 0.25
77602: done 65 games, mean reward -18.985, speed 155.57 f/s, eps 0.22
79452: done 66 games, mean reward -18.955, speed 155.66 f/s, eps 0.21
80945: done 67 games, mean reward -18.970, speed 154.87 f/s, eps 0.19
83452: done 68 games, mean reward -18.912, speed 155.44 f/s, eps 0.17
86244: done 69 games, mean reward -18.826, speed 155.59 f/s, eps 0.14
88311: done 70 games, mean reward -18.829, speed 155.27 f/s, eps 0.12
90634: done 71 games, mean reward -18.789, speed 155.52 f/s, eps 0.09
92834: done 72 games, mean reward -18.792, speed 155.48 f/s, eps 0.07
95641: done 73 games, mean reward -18.685, speed 155.54 f/s, eps 0.04
97577: done 74 games, mean reward -18.703, speed 155.46 f/s, eps 0.02
99267: done 75 games, mean reward -18.707, speed 155.44 f/s, eps 0.02
102442: done 76 games, mean reward -18.553, speed 155.46 f/s, eps 0.02
105706: done 77 games, mean reward -18.442, speed 155.51 f/s, eps 0.02
108256: done 78 games, mean reward -18.346, speed 155.39 f/s, eps 0.02
111768: done 79 games, mean reward -18.177, speed 155.37 f/s, eps 0.02
115008: done 80 games, mean reward -17.913, speed 155.35 f/s, eps 0.02
118024: done 81 games, mean reward -17.778, speed 155.33 f/s, eps 0.02
120857: done 82 games, mean reward -17.720, speed 155.27 f/s, eps 0.02
124920: done 83 games, mean reward -17.554, speed 155.34 f/s, eps 0.02
128388: done 84 games, mean reward -17.405, speed 155.15 f/s, eps 0.02
131561: done 85 games, mean reward -17.318, speed 155.37 f/s, eps 0.02
135267: done 86 games, mean reward -17.151, speed 155.31 f/s, eps 0.02
