762: done 1 games, mean reward -21.000, speed 223.65 f/s
1518: done 2 games, mean reward -21.000, speed 343.53 f/s
2277: done 3 games, mean reward -21.000, speed 520.63 f/s
3037: done 4 games, mean reward -21.000, speed 533.73 f/s
3797: done 5 games, mean reward -21.000, speed 532.92 f/s
4559: done 6 games, mean reward -21.000, speed 531.11 f/s
5314: done 7 games, mean reward -21.000, speed 533.43 f/s
6075: done 8 games, mean reward -21.000, speed 531.80 f/s
6830: done 9 games, mean reward -21.000, speed 530.94 f/s
7589: done 10 games, mean reward -21.000, speed 532.68 f/s
8351: done 11 games, mean reward -21.000, speed 531.09 f/s
9108: done 12 games, mean reward -21.000, speed 532.77 f/s
9866: done 13 games, mean reward -21.000, speed 531.28 f/s
10808: done 14 games, mean reward -21.000, speed 144.86 f/s
11642: done 15 games, mean reward -21.000, speed 128.85 f/s
12397: done 16 games, mean reward -21.000, speed 129.55 f/s
13199: done 17 games, mean reward -21.000, speed 130.77 f/s
14098: done 18 games, mean reward -20.944, speed 131.65 f/s
15090: done 19 games, mean reward -20.842, speed 131.89 f/s
15866: done 20 games, mean reward -20.850, speed 131.78 f/s
16789: done 21 games, mean reward -20.810, speed 131.61 f/s
17578: done 22 games, mean reward -20.818, speed 131.66 f/s
18421: done 23 games, mean reward -20.826, speed 131.89 f/s
19383: done 24 games, mean reward -20.792, speed 131.84 f/s
20197: done 25 games, mean reward -20.800, speed 131.27 f/s
20981: done 26 games, mean reward -20.808, speed 131.59 f/s
21813: done 27 games, mean reward -20.778, speed 131.77 f/s
22586: done 28 games, mean reward -20.786, speed 131.15 f/s
23447: done 29 games, mean reward -20.759, speed 130.95 f/s
24232: done 30 games, mean reward -20.767, speed 131.78 f/s
25015: done 31 games, mean reward -20.774, speed 131.75 f/s
25868: done 32 games, mean reward -20.750, speed 131.69 f/s
26654: done 33 games, mean reward -20.758, speed 131.76 f/s
27483: done 34 games, mean reward -20.735, speed 131.82 f/s
28442: done 35 games, mean reward -20.686, speed 131.64 f/s
29272: done 36 games, mean reward -20.667, speed 132.14 f/s
30208: done 37 games, mean reward -20.649, speed 132.18 f/s
31109: done 38 games, mean reward -20.658, speed 132.38 f/s
32061: done 39 games, mean reward -20.641, speed 132.28 f/s
33294: done 40 games, mean reward -20.650, speed 132.44 f/s
34335: done 41 games, mean reward -20.659, speed 132.55 f/s
35199: done 42 games, mean reward -20.667, speed 132.20 f/s
36153: done 43 games, mean reward -20.651, speed 132.19 f/s
37576: done 44 games, mean reward -20.545, speed 132.42 f/s
38853: done 45 games, mean reward -20.533, speed 132.58 f/s
40386: done 46 games, mean reward -20.413, speed 132.61 f/s
41635: done 47 games, mean reward -20.362, speed 132.23 f/s
42728: done 48 games, mean reward -20.354, speed 132.21 f/s
43910: done 49 games, mean reward -20.347, speed 132.20 f/s
45274: done 50 games, mean reward -20.340, speed 132.29 f/s
46987: done 51 games, mean reward -20.235, speed 132.52 f/s
48613: done 52 games, mean reward -20.212, speed 132.38 f/s
50527: done 53 games, mean reward -20.113, speed 132.34 f/s
51990: done 54 games, mean reward -20.111, speed 133.06 f/s
53620: done 55 games, mean reward -20.073, speed 133.09 f/s
55170: done 56 games, mean reward -20.071, speed 133.47 f/s
56659: done 57 games, mean reward -20.035, speed 134.04 f/s
58743: done 58 games, mean reward -19.897, speed 133.67 f/s
60148: done 59 games, mean reward -19.864, speed 133.73 f/s
61891: done 60 games, mean reward -19.750, speed 133.71 f/s
63521: done 61 games, mean reward -19.656, speed 134.06 f/s
65146: done 62 games, mean reward -19.597, speed 133.92 f/s
66451: done 63 games, mean reward -19.603, speed 133.79 f/s
67890: done 64 games, mean reward -19.625, speed 133.84 f/s
69305: done 65 games, mean reward -19.615, speed 134.03 f/s
70668: done 66 games, mean reward -19.636, speed 133.97 f/s
72676: done 67 games, mean reward -19.537, speed 133.66 f/s
74969: done 68 games, mean reward -19.412, speed 134.02 f/s
76854: done 69 games, mean reward -19.319, speed 133.99 f/s
78807: done 70 games, mean reward -19.200, speed 134.03 f/s
81488: done 71 games, mean reward -19.085, speed 134.24 f/s
84394: done 72 games, mean reward -18.944, speed 134.01 f/s
87051: done 73 games, mean reward -18.822, speed 133.94 f/s
89145: done 74 games, mean reward -18.797, speed 133.95 f/s
91025: done 75 games, mean reward -18.813, speed 134.21 f/s
94668: done 76 games, mean reward -18.579, speed 134.24 f/s
98366: done 77 games, mean reward -18.325, speed 133.87 f/s
100175: done 78 games, mean reward -18.333, speed 134.15 f/s
101706: done 79 games, mean reward -18.329, speed 133.79 f/s
103507: done 80 games, mean reward -17.875, speed 133.95 f/s
105516: done 81 games, mean reward -17.889, speed 134.11 f/s
107849: done 82 games, mean reward -17.488, speed 133.99 f/s
110207: done 83 games, mean reward -17.482, speed 134.08 f/s
112250: done 84 games, mean reward -17.119, speed 134.01 f/s
114751: done 85 games, mean reward -17.129, speed 134.26 f/s
117506: done 86 games, mean reward -17.116, speed 134.23 f/s
119255: done 87 games, mean reward -17.149, speed 134.05 f/s
121254: done 88 games, mean reward -17.170, speed 134.22 f/s
123592: done 89 games, mean reward -17.169, speed 134.20 f/s
125502: done 90 games, mean reward -17.189, speed 134.32 f/s
128383: done 91 games, mean reward -16.967, speed 134.07 f/s
129943: done 92 games, mean reward -16.565, speed 134.27 f/s
132482: done 93 games, mean reward -16.559, speed 134.11 f/s
135587: done 94 games, mean reward -16.521, speed 134.35 f/s
138515: done 95 games, mean reward -16.442, speed 134.08 f/s
140127: done 96 games, mean reward -16.062, speed 134.35 f/s
142216: done 97 games, mean reward -15.742, speed 133.64 f/s
144262: done 98 games, mean reward -15.459, speed 134.31 f/s
146612: done 99 games, mean reward -15.172, speed 134.37 f/s
149671: done 100 games, mean reward -15.000, speed 134.30 f/s
152098: done 101 games, mean reward -14.660, speed 134.18 f/s
154299: done 102 games, mean reward -14.310, speed 134.23 f/s
156942: done 103 games, mean reward -14.170, speed 134.37 f/s
158971: done 104 games, mean reward -13.800, speed 134.13 f/s
160589: done 105 games, mean reward -13.390, speed 134.22 f/s
163896: done 106 games, mean reward -13.230, speed 134.26 f/s
165456: done 107 games, mean reward -12.820, speed 134.29 f/s
167138: done 108 games, mean reward -12.410, speed 134.26 f/s
169365: done 109 games, mean reward -12.090, speed 134.59 f/s
173185: done 110 games, mean reward -11.900, speed 134.70 f/s
176771: done 111 games, mean reward -11.650, speed 134.61 f/s
179959: done 112 games, mean reward -11.510, speed 134.68 f/s
184113: done 113 games, mean reward -11.230, speed 134.66 f/s
187870: done 114 games, mean reward -10.950, speed 134.61 f/s
189710: done 115 games, mean reward -10.550, speed 134.56 f/s
194108: done 116 games, mean reward -10.360, speed 134.63 f/s
196440: done 117 games, mean reward -9.990, speed 135.02 f/s
198968: done 118 games, mean reward -9.630, speed 134.84 f/s
202486: done 119 games, mean reward -9.410, speed 134.58 f/s
204048: done 120 games, mean reward -9.000, speed 134.88 f/s
207650: done 121 games, mean reward -8.860, speed 134.52 f/s
210143: done 122 games, mean reward -8.570, speed 134.68 f/s
214154: done 123 games, mean reward -8.390, speed 134.71 f/s
218659: done 124 games, mean reward -8.170, speed 134.81 f/s
222516: done 125 games, mean reward -7.870, speed 134.59 f/s
225912: done 126 games, mean reward -7.580, speed 134.47 f/s
228922: done 127 games, mean reward -7.320, speed 134.49 f/s
231556: done 128 games, mean reward -7.000, speed 134.66 f/s
234780: done 129 games, mean reward -6.770, speed 134.56 f/s
237517: done 130 games, mean reward -6.470, speed 134.62 f/s
240141: done 131 games, mean reward -6.160, speed 134.44 f/s
241930: done 132 games, mean reward -5.770, speed 134.35 f/s
243944: done 133 games, mean reward -5.370, speed 134.29 f/s
246242: done 134 games, mean reward -5.020, speed 134.79 f/s
247913: done 135 games, mean reward -4.640, speed 134.27 f/s
249472: done 136 games, mean reward -4.240, speed 134.99 f/s
252102: done 137 games, mean reward -3.960, speed 134.78 f/s
254097: done 138 games, mean reward -3.580, speed 134.59 f/s
255692: done 139 games, mean reward -3.180, speed 134.70 f/s
257254: done 140 games, mean reward -2.770, speed 134.53 f/s
258882: done 141 games, mean reward -2.350, speed 134.44 f/s
260998: done 142 games, mean reward -1.980, speed 134.50 f/s
263250: done 143 games, mean reward -1.650, speed 134.58 f/s
264881: done 144 games, mean reward -1.280, speed 134.62 f/s
266509: done 145 games, mean reward -0.870, speed 134.61 f/s
268234: done 146 games, mean reward -0.530, speed 134.72 f/s
270354: done 147 games, mean reward -0.170, speed 134.69 f/s
272030: done 148 games, mean reward 0.220, speed 134.88 f/s
273776: done 149 games, mean reward 0.620, speed 134.78 f/s
275538: done 150 games, mean reward 1.000, speed 134.54 f/s
277511: done 151 games, mean reward 1.290, speed 134.53 f/s
279951: done 152 games, mean reward 1.600, speed 134.50 f/s
282190: done 153 games, mean reward 1.890, speed 134.54 f/s
283751: done 154 games, mean reward 2.290, speed 134.38 f/s
285515: done 155 games, mean reward 2.670, speed 134.56 f/s
287077: done 156 games, mean reward 3.070, speed 134.46 f/s
289003: done 157 games, mean reward 3.450, speed 134.65 f/s
291272: done 158 games, mean reward 3.710, speed 134.70 f/s
292836: done 159 games, mean reward 4.090, speed 134.80 f/s
294468: done 160 games, mean reward 4.430, speed 134.76 f/s
296824: done 161 games, mean reward 4.700, speed 134.61 f/s
298453: done 162 games, mean reward 5.070, speed 134.28 f/s
300365: done 163 games, mean reward 5.450, speed 134.45 f/s
301955: done 164 games, mean reward 5.870, speed 134.34 f/s
303694: done 165 games, mean reward 6.250, speed 134.48 f/s
305451: done 166 games, mean reward 6.660, speed 134.64 f/s
307085: done 167 games, mean reward 7.000, speed 134.49 f/s
308649: done 168 games, mean reward 7.310, speed 134.80 f/s
310326: done 169 games, mean reward 7.630, speed 134.78 f/s
312380: done 170 games, mean reward 7.910, speed 134.75 f/s
314072: done 171 games, mean reward 8.230, speed 134.39 f/s
316011: done 172 games, mean reward 8.480, speed 134.77 f/s
317652: done 173 games, mean reward 8.770, speed 134.93 f/s
319216: done 174 games, mean reward 9.140, speed 134.60 f/s
320870: done 175 games, mean reward 9.540, speed 134.36 f/s
322563: done 176 games, mean reward 9.750, speed 134.85 f/s
324317: done 177 games, mean reward 9.950, speed 134.46 f/s
325950: done 178 games, mean reward 10.350, speed 134.63 f/s
328499: done 179 games, mean reward 10.660, speed 134.30 f/s
330525: done 180 games, mean reward 10.650, speed 134.63 f/s
332087: done 181 games, mean reward 11.040, speed 134.44 f/s
333815: done 182 games, mean reward 11.080, speed 134.64 f/s
335803: done 183 games, mean reward 11.420, speed 134.54 f/s
337430: done 184 games, mean reward 11.500, speed 134.65 f/s
339060: done 185 games, mean reward 11.890, speed 134.51 f/s
340752: done 186 games, mean reward 12.250, speed 134.49 f/s
342381: done 187 games, mean reward 12.660, speed 134.81 f/s
344268: done 188 games, mean reward 13.030, speed 134.71 f/s
345895: done 189 games, mean reward 13.410, speed 134.51 f/s
347616: done 190 games, mean reward 13.790, speed 134.58 f/s
349496: done 191 games, mean reward 13.940, speed 134.54 f/s
351125: done 192 games, mean reward 13.950, speed 134.50 f/s
353109: done 193 games, mean reward 14.280, speed 134.49 f/s
354884: done 194 games, mean reward 14.600, speed 134.76 f/s
356581: done 195 games, mean reward 14.870, speed 134.63 f/s
358566: done 196 games, mean reward 14.830, speed 134.75 f/s
360197: done 197 games, mean reward 14.890, speed 134.53 f/s
361982: done 198 games, mean reward 14.970, speed 134.26 f/s
363610: done 199 games, mean reward 15.050, speed 134.64 f/s
365698: done 200 games, mean reward 15.170, speed 134.50 f/s
367484: done 201 games, mean reward 15.230, speed 134.57 f/s
369117: done 202 games, mean reward 15.300, speed 134.52 f/s
370949: done 203 games, mean reward 15.560, speed 134.81 f/s
372582: done 204 games, mean reward 15.610, speed 134.56 f/s
374210: done 205 games, mean reward 15.620, speed 134.49 f/s
375971: done 206 games, mean reward 15.850, speed 134.69 f/s
377598: done 207 games, mean reward 15.860, speed 134.74 f/s
379228: done 208 games, mean reward 15.870, speed 134.47 f/s
380856: done 209 games, mean reward 15.970, speed 134.72 f/s
383127: done 210 games, mean reward 16.120, speed 134.54 f/s
384905: done 211 games, mean reward 16.250, speed 134.62 f/s
386873: done 212 games, mean reward 16.480, speed 134.55 f/s
388628: done 213 games, mean reward 16.610, speed 134.75 f/s
391070: done 214 games, mean reward 16.660, speed 134.64 f/s
392869: done 215 games, mean reward 16.650, speed 134.67 f/s
394768: done 216 games, mean reward 16.860, speed 134.66 f/s
396549: done 217 games, mean reward 16.900, speed 134.61 f/s
398463: done 218 games, mean reward 16.920, speed 134.80 f/s
400159: done 219 games, mean reward 17.100, speed 134.75 f/s
402874: done 220 games, mean reward 17.040, speed 134.66 f/s
404767: done 221 games, mean reward 17.290, speed 134.47 f/s
406551: done 222 games, mean reward 17.390, speed 134.67 f/s
