763: done 1 games, mean reward -21.000, speed 118.24 f/s
1522: done 2 games, mean reward -21.000, speed 445.41 f/s
2282: done 3 games, mean reward -21.000, speed 444.38 f/s
3040: done 4 games, mean reward -21.000, speed 444.58 f/s
3802: done 5 games, mean reward -21.000, speed 444.83 f/s
4564: done 6 games, mean reward -21.000, speed 444.80 f/s
5327: done 7 games, mean reward -21.000, speed 444.35 f/s
6087: done 8 games, mean reward -21.000, speed 444.12 f/s
6848: done 9 games, mean reward -21.000, speed 443.26 f/s
7607: done 10 games, mean reward -21.000, speed 442.83 f/s
8369: done 11 games, mean reward -21.000, speed 443.53 f/s
9132: done 12 games, mean reward -21.000, speed 442.51 f/s
9889: done 13 games, mean reward -21.000, speed 443.37 f/s
10739: done 14 games, mean reward -21.000, speed 87.56 f/s
11615: done 15 games, mean reward -21.000, speed 78.90 f/s
12436: done 16 games, mean reward -21.000, speed 83.23 f/s
13390: done 17 games, mean reward -20.941, speed 82.02 f/s
14146: done 18 games, mean reward -20.944, speed 79.94 f/s
15039: done 19 games, mean reward -20.895, speed 80.07 f/s
15886: done 20 games, mean reward -20.900, speed 79.61 f/s
16883: done 21 games, mean reward -20.905, speed 81.30 f/s
17771: done 22 games, mean reward -20.864, speed 80.68 f/s
18777: done 23 games, mean reward -20.870, speed 79.91 f/s
19796: done 24 games, mean reward -20.875, speed 80.29 f/s
20860: done 25 games, mean reward -20.880, speed 79.72 f/s
21777: done 26 games, mean reward -20.846, speed 78.97 f/s
22750: done 27 games, mean reward -20.852, speed 78.81 f/s
23690: done 28 games, mean reward -20.857, speed 79.53 f/s
24815: done 29 games, mean reward -20.862, speed 77.97 f/s
25756: done 30 games, mean reward -20.867, speed 79.55 f/s
26940: done 31 games, mean reward -20.839, speed 84.15 f/s
28236: done 32 games, mean reward -20.812, speed 81.26 f/s
29441: done 33 games, mean reward -20.818, speed 79.68 f/s
30669: done 34 games, mean reward -20.824, speed 79.80 f/s
31882: done 35 games, mean reward -20.800, speed 81.95 f/s
32639: done 36 games, mean reward -20.806, speed 84.86 f/s
33953: done 37 games, mean reward -20.757, speed 84.61 f/s
35358: done 38 games, mean reward -20.763, speed 84.93 f/s
36317: done 39 games, mean reward -20.769, speed 84.36 f/s
37971: done 40 games, mean reward -20.750, speed 80.62 f/s
39447: done 41 games, mean reward -20.683, speed 79.46 f/s
41348: done 42 games, mean reward -20.595, speed 80.41 f/s
42814: done 43 games, mean reward -20.535, speed 80.52 f/s
44443: done 44 games, mean reward -20.523, speed 80.69 f/s
46232: done 45 games, mean reward -20.444, speed 80.16 f/s
48475: done 46 games, mean reward -20.348, speed 80.86 f/s
50702: done 47 games, mean reward -20.277, speed 80.54 f/s
52637: done 48 games, mean reward -20.208, speed 80.33 f/s
54465: done 49 games, mean reward -20.163, speed 80.45 f/s
56555: done 50 games, mean reward -20.080, speed 80.57 f/s
59116: done 51 games, mean reward -20.059, speed 84.13 f/s
