977: done 1 games, mean reward -19.000, speed 391.90 f/s, eps 0.99
1825: done 2 games, mean reward -20.000, speed 498.90 f/s, eps 0.98
2642: done 3 games, mean reward -20.333, speed 497.06 f/s, eps 0.97
3398: done 4 games, mean reward -20.500, speed 496.20 f/s, eps 0.97
4351: done 5 games, mean reward -20.400, speed 496.75 f/s, eps 0.96
5232: done 6 games, mean reward -20.333, speed 496.23 f/s, eps 0.95
6111: done 7 games, mean reward -20.429, speed 494.34 f/s, eps 0.94
6959: done 8 games, mean reward -20.500, speed 492.99 f/s, eps 0.93
7719: done 9 games, mean reward -20.556, speed 488.13 f/s, eps 0.92
8845: done 10 games, mean reward -20.400, speed 495.76 f/s, eps 0.91
9907: done 11 games, mean reward -20.273, speed 494.57 f/s, eps 0.90
10802: done 12 games, mean reward -20.250, speed 136.82 f/s, eps 0.89
11784: done 13 games, mean reward -20.154, speed 126.30 f/s, eps 0.88
12685: done 14 games, mean reward -20.143, speed 126.19 f/s, eps 0.87
13613: done 15 games, mean reward -20.200, speed 125.92 f/s, eps 0.86
14671: done 16 games, mean reward -20.125, speed 126.16 f/s, eps 0.85
15610: done 17 games, mean reward -20.118, speed 126.10 f/s, eps 0.84
16660: done 18 games, mean reward -20.111, speed 125.72 f/s, eps 0.83
17681: done 19 games, mean reward -20.053, speed 125.74 f/s, eps 0.82
18687: done 20 games, mean reward -20.050, speed 125.98 f/s, eps 0.81
19686: done 21 games, mean reward -20.095, speed 125.78 f/s, eps 0.80
20615: done 22 games, mean reward -20.045, speed 125.81 f/s, eps 0.79
21617: done 23 games, mean reward -20.043, speed 125.61 f/s, eps 0.78
22512: done 24 games, mean reward -20.042, speed 125.80 f/s, eps 0.77
23333: done 25 games, mean reward -20.080, speed 125.88 f/s, eps 0.77
24331: done 26 games, mean reward -20.038, speed 125.92 f/s, eps 0.76
25255: done 27 games, mean reward -20.037, speed 125.59 f/s, eps 0.75
26090: done 28 games, mean reward -20.071, speed 126.01 f/s, eps 0.74
26897: done 29 games, mean reward -20.103, speed 125.91 f/s, eps 0.73
27754: done 30 games, mean reward -20.133, speed 125.86 f/s, eps 0.72
28560: done 31 games, mean reward -20.161, speed 125.59 f/s, eps 0.71
29454: done 32 games, mean reward -20.156, speed 125.85 f/s, eps 0.71
30335: done 33 games, mean reward -20.182, speed 125.84 f/s, eps 0.70
