761: done 1 games, mean reward -21.000, speed 263.11 f/s
1516: done 2 games, mean reward -21.000, speed 496.42 f/s
2275: done 3 games, mean reward -21.000, speed 493.50 f/s
3032: done 4 games, mean reward -21.000, speed 495.49 f/s
3791: done 5 games, mean reward -21.000, speed 493.27 f/s
4552: done 6 games, mean reward -21.000, speed 481.71 f/s
5312: done 7 games, mean reward -21.000, speed 490.23 f/s
6067: done 8 games, mean reward -21.000, speed 492.94 f/s
6823: done 9 games, mean reward -21.000, speed 492.40 f/s
7583: done 10 games, mean reward -21.000, speed 490.49 f/s
8339: done 11 games, mean reward -21.000, speed 488.30 f/s
9094: done 12 games, mean reward -21.000, speed 489.89 f/s
9852: done 13 games, mean reward -21.000, speed 487.12 f/s
10690: done 14 games, mean reward -20.929, speed 152.22 f/s
11477: done 15 games, mean reward -20.933, speed 133.84 f/s
12435: done 16 games, mean reward -20.812, speed 133.19 f/s
13441: done 17 games, mean reward -20.706, speed 133.52 f/s
14317: done 18 games, mean reward -20.722, speed 133.29 f/s
15241: done 19 games, mean reward -20.684, speed 115.89 f/s
16084: done 20 games, mean reward -20.700, speed 101.88 f/s
16961: done 21 games, mean reward -20.714, speed 84.08 f/s
17857: done 22 games, mean reward -20.727, speed 99.95 f/s
18766: done 23 games, mean reward -20.739, speed 88.45 f/s
19615: done 24 games, mean reward -20.750, speed 98.69 f/s
20499: done 25 games, mean reward -20.760, speed 89.07 f/s
21318: done 26 games, mean reward -20.769, speed 73.91 f/s
22218: done 27 games, mean reward -20.778, speed 77.64 f/s
23188: done 28 games, mean reward -20.786, speed 76.90 f/s
24213: done 29 games, mean reward -20.793, speed 77.76 f/s
25214: done 30 games, mean reward -20.767, speed 73.62 f/s
26377: done 31 games, mean reward -20.742, speed 75.35 f/s
27492: done 32 games, mean reward -20.719, speed 86.32 f/s
28497: done 33 games, mean reward -20.727, speed 68.64 f/s
29782: done 34 games, mean reward -20.706, speed 81.21 f/s
31330: done 35 games, mean reward -20.600, speed 78.04 f/s
32319: done 36 games, mean reward -20.611, speed 77.54 f/s
33596: done 37 games, mean reward -20.622, speed 87.11 f/s
35179: done 38 games, mean reward -20.500, speed 86.77 f/s
36906: done 39 games, mean reward -20.462, speed 80.96 f/s
38334: done 40 games, mean reward -20.425, speed 77.25 f/s
39795: done 41 games, mean reward -20.366, speed 73.36 f/s
41932: done 42 games, mean reward -20.214, speed 77.30 f/s
43485: done 43 games, mean reward -20.209, speed 82.36 f/s
45062: done 44 games, mean reward -20.136, speed 81.62 f/s
47083: done 45 games, mean reward -20.089, speed 78.55 f/s
48988: done 46 games, mean reward -20.043, speed 82.92 f/s
50956: done 47 games, mean reward -20.000, speed 86.10 f/s
53054: done 48 games, mean reward -19.938, speed 79.62 f/s
55372: done 49 games, mean reward -19.837, speed 80.23 f/s
57535: done 50 games, mean reward -19.820, speed 79.61 f/s
59729: done 51 games, mean reward -19.784, speed 74.50 f/s
61684: done 52 games, mean reward -19.731, speed 83.50 f/s
64317: done 53 games, mean reward -19.642, speed 82.84 f/s
66904: done 54 games, mean reward -19.537, speed 82.27 f/s
70470: done 55 games, mean reward -19.364, speed 73.87 f/s
72692: done 56 games, mean reward -19.304, speed 76.95 f/s
75431: done 57 games, mean reward -19.158, speed 78.98 f/s
79435: done 58 games, mean reward -18.983, speed 77.79 f/s
81857: done 59 games, mean reward -18.915, speed 85.20 f/s
85262: done 60 games, mean reward -18.750, speed 82.47 f/s
87946: done 61 games, mean reward -18.689, speed 80.59 f/s
90204: done 62 games, mean reward -18.694, speed 83.16 f/s
93230: done 63 games, mean reward -18.587, speed 82.09 f/s
95471: done 64 games, mean reward -18.594, speed 75.26 f/s
99064: done 65 games, mean reward -18.431, speed 82.89 f/s
103882: done 66 games, mean reward -18.212, speed 75.08 f/s
106410: done 67 games, mean reward -18.179, speed 85.63 f/s
111031: done 68 games, mean reward -17.882, speed 80.38 f/s
113473: done 69 games, mean reward -17.855, speed 76.97 f/s
116859: done 70 games, mean reward -17.729, speed 84.16 f/s
121105: done 71 games, mean reward -17.521, speed 76.78 f/s
124273: done 72 games, mean reward -17.444, speed 81.35 f/s
127659: done 73 games, mean reward -17.315, speed 82.89 f/s
132226: done 74 games, mean reward -17.054, speed 78.99 f/s
134844: done 75 games, mean reward -16.600, speed 79.71 f/s
138705: done 76 games, mean reward -16.368, speed 84.01 f/s
141068: done 77 games, mean reward -16.403, speed 88.40 f/s
145518: done 78 games, mean reward -16.256, speed 77.16 f/s
149152: done 79 games, mean reward -16.025, speed 79.39 f/s
151596: done 80 games, mean reward -15.575, speed 81.85 f/s
153585: done 81 games, mean reward -15.123, speed 73.41 f/s
155575: done 82 games, mean reward -14.683, speed 79.92 f/s
159684: done 83 games, mean reward -14.566, speed 79.99 f/s
162934: done 84 games, mean reward -14.286, speed 84.06 f/s
166077: done 85 games, mean reward -13.953, speed 78.95 f/s
169433: done 86 games, mean reward -13.721, speed 77.72 f/s
173074: done 87 games, mean reward -13.506, speed 78.48 f/s
176040: done 88 games, mean reward -13.455, speed 78.29 f/s
178660: done 89 games, mean reward -13.135, speed 81.62 f/s
181756: done 90 games, mean reward -12.867, speed 74.52 f/s
184021: done 91 games, mean reward -12.505, speed 77.93 f/s
186013: done 92 games, mean reward -12.141, speed 79.35 f/s
188118: done 93 games, mean reward -11.806, speed 83.91 f/s
190536: done 94 games, mean reward -11.532, speed 78.06 f/s
193722: done 95 games, mean reward -11.400, speed 80.29 f/s
195707: done 96 games, mean reward -11.062, speed 81.49 f/s
