757: done 1 games, mean reward -21.000, speed 242.42 f/s
1518: done 2 games, mean reward -21.000, speed 394.54 f/s
2280: done 3 games, mean reward -21.000, speed 464.56 f/s
3037: done 4 games, mean reward -21.000, speed 532.74 f/s
3794: done 5 games, mean reward -21.000, speed 535.45 f/s
4550: done 6 games, mean reward -21.000, speed 533.69 f/s
5312: done 7 games, mean reward -21.000, speed 534.34 f/s
6074: done 8 games, mean reward -21.000, speed 534.25 f/s
6832: done 9 games, mean reward -21.000, speed 535.79 f/s
7590: done 10 games, mean reward -21.000, speed 531.10 f/s
8346: done 11 games, mean reward -21.000, speed 532.85 f/s
9109: done 12 games, mean reward -21.000, speed 533.14 f/s
9871: done 13 games, mean reward -21.000, speed 531.08 f/s
10628: done 14 games, mean reward -21.000, speed 126.21 f/s
11385: done 15 games, mean reward -21.000, speed 109.11 f/s
12145: done 16 games, mean reward -21.000, speed 109.03 f/s
12902: done 17 games, mean reward -21.000, speed 109.11 f/s
13660: done 18 games, mean reward -21.000, speed 109.02 f/s
14496: done 19 games, mean reward -20.947, speed 108.96 f/s
15438: done 20 games, mean reward -20.850, speed 109.08 f/s
16227: done 21 games, mean reward -20.857, speed 108.97 f/s
16983: done 22 games, mean reward -20.864, speed 108.89 f/s
17742: done 23 games, mean reward -20.870, speed 109.07 f/s
18504: done 24 games, mean reward -20.875, speed 109.12 f/s
19265: done 25 games, mean reward -20.880, speed 109.04 f/s
20026: done 26 games, mean reward -20.885, speed 109.28 f/s
20783: done 27 games, mean reward -20.889, speed 109.33 f/s
21546: done 28 games, mean reward -20.893, speed 109.36 f/s
22303: done 29 games, mean reward -20.897, speed 109.16 f/s
23061: done 30 games, mean reward -20.900, speed 108.98 f/s
23819: done 31 games, mean reward -20.903, speed 109.29 f/s
24719: done 32 games, mean reward -20.875, speed 109.21 f/s
25476: done 33 games, mean reward -20.879, speed 109.17 f/s
26253: done 34 games, mean reward -20.882, speed 109.15 f/s
27016: done 35 games, mean reward -20.886, speed 109.11 f/s
27800: done 36 games, mean reward -20.889, speed 109.33 f/s
28650: done 37 games, mean reward -20.892, speed 109.24 f/s
29409: done 38 games, mean reward -20.895, speed 109.49 f/s
30354: done 39 games, mean reward -20.872, speed 109.27 f/s
31434: done 40 games, mean reward -20.800, speed 109.18 f/s
32501: done 41 games, mean reward -20.756, speed 109.40 f/s
33399: done 42 games, mean reward -20.738, speed 109.16 f/s
34234: done 43 games, mean reward -20.744, speed 109.11 f/s
35237: done 44 games, mean reward -20.727, speed 109.17 f/s
36226: done 45 games, mean reward -20.711, speed 109.17 f/s
37109: done 46 games, mean reward -20.717, speed 109.29 f/s
38365: done 47 games, mean reward -20.723, speed 109.07 f/s
39740: done 48 games, mean reward -20.688, speed 109.20 f/s
41154: done 49 games, mean reward -20.673, speed 109.05 f/s
43214: done 50 games, mean reward -20.600, speed 109.22 f/s
