1134: done 1 games, mean reward -20.000, speed 424.53 f/s, eps 0.99
2100: done 2 games, mean reward -20.500, speed 528.65 f/s, eps 0.98
3122: done 3 games, mean reward -20.333, speed 527.14 f/s, eps 0.97
4075: done 4 games, mean reward -20.500, speed 525.34 f/s, eps 0.96
5041: done 5 games, mean reward -20.400, speed 525.19 f/s, eps 0.95
5955: done 6 games, mean reward -20.333, speed 524.19 f/s, eps 0.94
6926: done 7 games, mean reward -20.143, speed 509.83 f/s, eps 0.93
7895: done 8 games, mean reward -20.250, speed 525.57 f/s, eps 0.92
8842: done 9 games, mean reward -20.111, speed 526.96 f/s, eps 0.91
9937: done 10 games, mean reward -20.100, speed 526.45 f/s, eps 0.90
10930: done 11 games, mean reward -20.182, speed 118.28 f/s, eps 0.89
11953: done 12 games, mean reward -20.083, speed 113.18 f/s, eps 0.88
12742: done 13 games, mean reward -20.154, speed 112.68 f/s, eps 0.87
13639: done 14 games, mean reward -20.143, speed 112.85 f/s, eps 0.86
14581: done 15 games, mean reward -20.200, speed 113.33 f/s, eps 0.85
15735: done 16 games, mean reward -20.188, speed 112.89 f/s, eps 0.84
16509: done 17 games, mean reward -20.235, speed 112.53 f/s, eps 0.83
17327: done 18 games, mean reward -20.278, speed 113.14 f/s, eps 0.83
18383: done 19 games, mean reward -20.316, speed 113.34 f/s, eps 0.82
19344: done 20 games, mean reward -20.300, speed 112.70 f/s, eps 0.81
20163: done 21 games, mean reward -20.333, speed 112.70 f/s, eps 0.80
21084: done 22 games, mean reward -20.318, speed 113.13 f/s, eps 0.79
22071: done 23 games, mean reward -20.261, speed 112.92 f/s, eps 0.78
22976: done 24 games, mean reward -20.292, speed 112.88 f/s, eps 0.77
24007: done 25 games, mean reward -20.240, speed 112.35 f/s, eps 0.76
24857: done 26 games, mean reward -20.269, speed 113.32 f/s, eps 0.75
25813: done 27 games, mean reward -20.259, speed 112.75 f/s, eps 0.74
26747: done 28 games, mean reward -20.250, speed 112.82 f/s, eps 0.73
27683: done 29 games, mean reward -20.207, speed 112.81 f/s, eps 0.72
28658: done 30 games, mean reward -20.200, speed 112.75 f/s, eps 0.71
29523: done 31 games, mean reward -20.194, speed 112.76 f/s, eps 0.70
30568: done 32 games, mean reward -20.188, speed 112.95 f/s, eps 0.69
