761: done 1 games, mean reward -21.000, speed 266.49 f/s
1519: done 2 games, mean reward -21.000, speed 301.88 f/s
2278: done 3 games, mean reward -21.000, speed 321.13 f/s
3034: done 4 games, mean reward -21.000, speed 434.54 f/s
3791: done 5 games, mean reward -21.000, speed 436.16 f/s
4553: done 6 games, mean reward -21.000, speed 435.17 f/s
5313: done 7 games, mean reward -21.000, speed 434.69 f/s
6071: done 8 games, mean reward -21.000, speed 434.48 f/s
6878: done 9 games, mean reward -21.000, speed 435.73 f/s
7640: done 10 games, mean reward -21.000, speed 432.58 f/s
8395: done 11 games, mean reward -21.000, speed 428.72 f/s
9152: done 12 games, mean reward -21.000, speed 436.82 f/s
9911: done 13 games, mean reward -21.000, speed 435.63 f/s
10669: done 14 games, mean reward -21.000, speed 79.14 f/s
11424: done 15 games, mean reward -21.000, speed 71.44 f/s
12179: done 16 games, mean reward -21.000, speed 71.01 f/s
12941: done 17 games, mean reward -21.000, speed 70.58 f/s
13703: done 18 games, mean reward -21.000, speed 70.29 f/s
14460: done 19 games, mean reward -21.000, speed 70.49 f/s
15220: done 20 games, mean reward -21.000, speed 69.81 f/s
15980: done 21 games, mean reward -21.000, speed 70.37 f/s
16740: done 22 games, mean reward -21.000, speed 69.84 f/s
17496: done 23 games, mean reward -21.000, speed 70.44 f/s
18252: done 24 games, mean reward -21.000, speed 70.23 f/s
19010: done 25 games, mean reward -21.000, speed 70.01 f/s
19765: done 26 games, mean reward -21.000, speed 70.12 f/s
20526: done 27 games, mean reward -21.000, speed 70.17 f/s
21285: done 28 games, mean reward -21.000, speed 70.12 f/s
22042: done 29 games, mean reward -21.000, speed 70.39 f/s
22802: done 30 games, mean reward -21.000, speed 70.07 f/s
23558: done 31 games, mean reward -21.000, speed 70.23 f/s
24314: done 32 games, mean reward -21.000, speed 69.85 f/s
25072: done 33 games, mean reward -21.000, speed 70.11 f/s
25830: done 34 games, mean reward -21.000, speed 69.92 f/s
26590: done 35 games, mean reward -21.000, speed 70.15 f/s
27350: done 36 games, mean reward -21.000, speed 70.08 f/s
28107: done 37 games, mean reward -21.000, speed 69.76 f/s
28864: done 38 games, mean reward -21.000, speed 69.54 f/s
29620: done 39 games, mean reward -21.000, speed 69.93 f/s
30377: done 40 games, mean reward -21.000, speed 69.81 f/s
31266: done 41 games, mean reward -21.000, speed 69.94 f/s
32104: done 42 games, mean reward -20.976, speed 69.80 f/s
32881: done 43 games, mean reward -20.977, speed 69.89 f/s
33850: done 44 games, mean reward -20.932, speed 70.30 f/s
34736: done 45 games, mean reward -20.911, speed 70.16 f/s
35632: done 46 games, mean reward -20.913, speed 70.35 f/s
36694: done 47 games, mean reward -20.830, speed 70.27 f/s
37657: done 48 games, mean reward -20.792, speed 70.28 f/s
38651: done 49 games, mean reward -20.755, speed 70.06 f/s
39491: done 50 games, mean reward -20.740, speed 70.36 f/s
40600: done 51 games, mean reward -20.706, speed 70.09 f/s
41603: done 52 games, mean reward -20.673, speed 70.25 f/s
42499: done 53 games, mean reward -20.660, speed 70.59 f/s
43278: done 54 games, mean reward -20.667, speed 70.10 f/s
44096: done 55 games, mean reward -20.673, speed 70.22 f/s
45041: done 56 games, mean reward -20.661, speed 70.20 f/s
45860: done 57 games, mean reward -20.667, speed 70.62 f/s
46722: done 58 games, mean reward -20.655, speed 70.44 f/s
47558: done 59 games, mean reward -20.644, speed 70.16 f/s
48398: done 60 games, mean reward -20.633, speed 70.42 f/s
49232: done 61 games, mean reward -20.623, speed 70.59 f/s
50246: done 62 games, mean reward -20.613, speed 70.94 f/s
51080: done 63 games, mean reward -20.603, speed 70.68 f/s
51860: done 64 games, mean reward -20.609, speed 70.07 f/s
52690: done 65 games, mean reward -20.600, speed 70.72 f/s
53501: done 66 games, mean reward -20.606, speed 70.71 f/s
54348: done 67 games, mean reward -20.612, speed 70.75 f/s
55262: done 68 games, mean reward -20.603, speed 70.48 f/s
56050: done 69 games, mean reward -20.609, speed 70.69 f/s
56871: done 70 games, mean reward -20.614, speed 70.44 f/s
57705: done 71 games, mean reward -20.606, speed 70.54 f/s
