1155: done 1 games, mean reward -19.000, eps 0.99, speed 389.97 f/s
2218: done 2 games, mean reward -19.500, eps 0.98, speed 492.63 f/s
3180: done 3 games, mean reward -20.000, eps 0.97, speed 492.17 f/s
4250: done 4 games, mean reward -19.750, eps 0.96, speed 493.17 f/s
5223: done 5 games, mean reward -19.800, eps 0.95, speed 492.09 f/s
6176: done 6 games, mean reward -20.000, eps 0.94, speed 493.41 f/s
6996: done 7 games, mean reward -20.143, eps 0.93, speed 492.72 f/s
7932: done 8 games, mean reward -20.250, eps 0.92, speed 491.01 f/s
8914: done 9 games, mean reward -20.222, eps 0.91, speed 491.97 f/s
9733: done 10 games, mean reward -20.300, eps 0.90, speed 490.93 f/s
10568: done 11 games, mean reward -20.364, eps 0.89, speed 156.92 f/s
11346: done 12 games, mean reward -20.417, eps 0.89, speed 118.06 f/s
12304: done 13 games, mean reward -20.385, eps 0.88, speed 117.94 f/s
13200: done 14 games, mean reward -20.429, eps 0.87, speed 118.17 f/s
14078: done 15 games, mean reward -20.467, eps 0.86, speed 118.87 f/s
14925: done 16 games, mean reward -20.500, eps 0.85, speed 118.10 f/s
15795: done 17 games, mean reward -20.529, eps 0.84, speed 119.86 f/s
16825: done 18 games, mean reward -20.556, eps 0.83, speed 117.40 f/s
17715: done 19 games, mean reward -20.526, eps 0.82, speed 117.92 f/s
18571: done 20 games, mean reward -20.550, eps 0.81, speed 118.12 f/s
19592: done 21 games, mean reward -20.524, eps 0.80, speed 116.24 f/s
20448: done 22 games, mean reward -20.545, eps 0.80, speed 117.85 f/s
21354: done 23 games, mean reward -20.565, eps 0.79, speed 105.61 f/s
22401: done 24 games, mean reward -20.458, eps 0.78, speed 102.98 f/s
23384: done 25 games, mean reward -20.480, eps 0.77, speed 82.63 f/s
24145: done 26 games, mean reward -20.500, eps 0.76, speed 86.91 f/s
25188: done 27 games, mean reward -20.481, eps 0.75, speed 97.35 f/s
26022: done 28 games, mean reward -20.500, eps 0.74, speed 79.81 f/s
26898: done 29 games, mean reward -20.517, eps 0.73, speed 90.51 f/s
27857: done 30 games, mean reward -20.467, eps 0.72, speed 87.39 f/s
28944: done 31 games, mean reward -20.484, eps 0.71, speed 84.69 f/s
29841: done 32 games, mean reward -20.500, eps 0.70, speed 81.27 f/s
30820: done 33 games, mean reward -20.515, eps 0.69, speed 87.26 f/s
31798: done 34 games, mean reward -20.471, eps 0.68, speed 88.86 f/s
32765: done 35 games, mean reward -20.457, eps 0.67, speed 88.47 f/s
33852: done 36 games, mean reward -20.389, eps 0.66, speed 81.78 f/s
35098: done 37 games, mean reward -20.351, eps 0.65, speed 79.91 f/s
36178: done 38 games, mean reward -20.368, eps 0.64, speed 87.92 f/s
37146: done 39 games, mean reward -20.385, eps 0.63, speed 86.77 f/s
38200: done 40 games, mean reward -20.375, eps 0.62, speed 85.48 f/s
39153: done 41 games, mean reward -20.390, eps 0.61, speed 96.55 f/s
40465: done 42 games, mean reward -20.333, eps 0.60, speed 76.06 f/s
41776: done 43 games, mean reward -20.279, eps 0.58, speed 88.76 f/s
42820: done 44 games, mean reward -20.295, eps 0.57, speed 87.68 f/s
44014: done 45 games, mean reward -20.289, eps 0.56, speed 88.68 f/s
45188: done 46 games, mean reward -20.261, eps 0.55, speed 86.05 f/s
46543: done 47 games, mean reward -20.170, eps 0.53, speed 87.30 f/s
