890: done 1 games, mean reward -20.000, eps 0.99, speed 341.25 f/s
1737: done 2 games, mean reward -20.500, eps 0.98, speed 444.84 f/s
3000: done 3 games, mean reward -20.000, eps 0.97, speed 448.46 f/s
3955: done 4 games, mean reward -20.000, eps 0.96, speed 449.23 f/s
4824: done 5 games, mean reward -20.000, eps 0.95, speed 448.41 f/s
5630: done 6 games, mean reward -20.167, eps 0.94, speed 446.66 f/s
6711: done 7 games, mean reward -20.000, eps 0.93, speed 448.81 f/s
7676: done 8 games, mean reward -19.875, eps 0.92, speed 447.92 f/s
8610: done 9 games, mean reward -19.889, eps 0.91, speed 447.01 f/s
9571: done 10 games, mean reward -19.900, eps 0.90, speed 447.62 f/s
10714: done 11 games, mean reward -19.909, eps 0.89, speed 125.32 f/s
11644: done 12 games, mean reward -19.917, eps 0.88, speed 88.41 f/s
12847: done 13 games, mean reward -19.769, eps 0.87, speed 87.79 f/s
13770: done 14 games, mean reward -19.786, eps 0.86, speed 89.82 f/s
14592: done 15 games, mean reward -19.867, eps 0.85, speed 88.78 f/s
15442: done 16 games, mean reward -19.938, eps 0.85, speed 86.33 f/s
16218: done 17 games, mean reward -20.000, eps 0.84, speed 88.21 f/s
17179: done 18 games, mean reward -20.000, eps 0.83, speed 87.71 f/s
18216: done 19 games, mean reward -20.000, eps 0.82, speed 89.13 f/s
19271: done 20 games, mean reward -19.950, eps 0.81, speed 89.72 f/s
20258: done 21 games, mean reward -20.000, eps 0.80, speed 86.65 f/s
21388: done 22 games, mean reward -19.955, eps 0.79, speed 87.83 f/s
22233: done 23 games, mean reward -20.000, eps 0.78, speed 88.60 f/s
23556: done 24 games, mean reward -19.833, eps 0.76, speed 88.21 f/s
24342: done 25 games, mean reward -19.880, eps 0.76, speed 86.70 f/s
25155: done 26 games, mean reward -19.923, eps 0.75, speed 88.84 f/s
26043: done 27 games, mean reward -19.926, eps 0.74, speed 85.31 f/s
26881: done 28 games, mean reward -19.929, eps 0.73, speed 87.23 f/s
27670: done 29 games, mean reward -19.966, eps 0.72, speed 88.15 f/s
28643: done 30 games, mean reward -19.933, eps 0.71, speed 88.42 f/s
29621: done 31 games, mean reward -19.935, eps 0.70, speed 87.99 f/s
30746: done 32 games, mean reward -19.875, eps 0.69, speed 86.95 f/s
31729: done 33 games, mean reward -19.879, eps 0.68, speed 85.83 f/s
32752: done 34 games, mean reward -19.853, eps 0.67, speed 89.12 f/s
33619: done 35 games, mean reward -19.886, eps 0.66, speed 88.55 f/s
34604: done 36 games, mean reward -19.889, eps 0.65, speed 89.60 f/s
35421: done 37 games, mean reward -19.919, eps 0.65, speed 87.26 f/s
36590: done 38 games, mean reward -19.947, eps 0.63, speed 87.22 f/s
37406: done 39 games, mean reward -19.974, eps 0.63, speed 89.85 f/s
38351: done 40 games, mean reward -19.975, eps 0.62, speed 88.10 f/s
39529: done 41 games, mean reward -19.927, eps 0.60, speed 87.78 f/s
40665: done 42 games, mean reward -19.952, eps 0.59, speed 88.47 f/s
41900: done 43 games, mean reward -19.884, eps 0.58, speed 87.97 f/s
43099: done 44 games, mean reward -19.841, eps 0.57, speed 86.48 f/s
44285: done 45 games, mean reward -19.867, eps 0.56, speed 86.85 f/s
45512: done 46 games, mean reward -19.804, eps 0.54, speed 87.24 f/s
47151: done 47 games, mean reward -19.723, eps 0.53, speed 87.93 f/s
48338: done 48 games, mean reward -19.667, eps 0.52, speed 87.97 f/s
49755: done 49 games, mean reward -19.633, eps 0.50, speed 86.63 f/s
51174: done 50 games, mean reward -19.560, eps 0.49, speed 88.31 f/s
52394: done 51 games, mean reward -19.588, eps 0.48, speed 88.36 f/s
53801: done 52 games, mean reward -19.519, eps 0.46, speed 88.68 f/s
55331: done 53 games, mean reward -19.472, eps 0.45, speed 89.01 f/s
56635: done 54 games, mean reward -19.481, eps 0.43, speed 89.00 f/s
57828: done 55 games, mean reward -19.491, eps 0.42, speed 86.85 f/s
59443: done 56 games, mean reward -19.411, eps 0.41, speed 88.51 f/s
61000: done 57 games, mean reward -19.351, eps 0.39, speed 87.52 f/s
62435: done 58 games, mean reward -19.345, eps 0.38, speed 87.57 f/s
63921: done 59 games, mean reward -19.322, eps 0.36, speed 86.86 f/s
65286: done 60 games, mean reward -19.317, eps 0.35, speed 88.46 f/s
66870: done 61 games, mean reward -19.262, eps 0.33, speed 88.98 f/s
68513: done 62 games, mean reward -19.242, eps 0.31, speed 88.62 f/s
69774: done 63 games, mean reward -19.238, eps 0.30, speed 87.73 f/s
71712: done 64 games, mean reward -19.219, eps 0.28, speed 87.76 f/s
73367: done 65 games, mean reward -19.215, eps 0.27, speed 88.14 f/s
75167: done 66 games, mean reward -19.152, eps 0.25, speed 87.99 f/s
76787: done 67 games, mean reward -19.075, eps 0.23, speed 88.40 f/s
79425: done 68 games, mean reward -18.956, eps 0.21, speed 88.02 f/s
81058: done 69 games, mean reward -18.942, eps 0.19, speed 88.38 f/s
82654: done 70 games, mean reward -18.914, eps 0.17, speed 88.24 f/s
85034: done 71 games, mean reward -18.789, eps 0.15, speed 88.49 f/s
86675: done 72 games, mean reward -18.806, eps 0.13, speed 87.35 f/s
88216: done 73 games, mean reward -18.808, eps 0.12, speed 87.38 f/s
90068: done 74 games, mean reward -18.716, eps 0.10, speed 89.00 f/s
92142: done 75 games, mean reward -18.667, eps 0.08, speed 88.23 f/s
93906: done 76 games, mean reward -18.671, eps 0.06, speed 87.98 f/s
96660: done 77 games, mean reward -18.506, eps 0.03, speed 87.04 f/s
98770: done 78 games, mean reward -18.449, eps 0.02, speed 88.37 f/s
100476: done 79 games, mean reward -18.468, eps 0.02, speed 88.26 f/s
102455: done 80 games, mean reward -18.475, eps 0.02, speed 86.69 f/s
104275: done 81 games, mean reward -18.469, eps 0.02, speed 88.06 f/s
107835: done 82 games, mean reward -18.280, eps 0.02, speed 87.10 f/s
110595: done 83 games, mean reward -18.253, eps 0.02, speed 88.50 f/s
114731: done 84 games, mean reward -18.083, eps 0.02, speed 88.05 f/s
116997: done 85 games, mean reward -18.082, eps 0.02, speed 86.50 f/s
120036: done 86 games, mean reward -18.035, eps 0.02, speed 87.97 f/s
122059: done 87 games, mean reward -18.034, eps 0.02, speed 86.19 f/s
124263: done 88 games, mean reward -18.000, eps 0.02, speed 89.08 f/s
127076: done 89 games, mean reward -17.888, eps 0.02, speed 87.65 f/s
130552: done 90 games, mean reward -17.711, eps 0.02, speed 86.04 f/s
133054: done 91 games, mean reward -17.659, eps 0.02, speed 88.84 f/s
136960: done 92 games, mean reward -17.435, eps 0.02, speed 87.00 f/s
140258: done 93 games, mean reward -17.301, eps 0.02, speed 87.55 f/s
143676: done 94 games, mean reward -17.149, eps 0.02, speed 87.01 f/s
146131: done 95 games, mean reward -16.811, eps 0.02, speed 88.29 f/s
148758: done 96 games, mean reward -16.542, eps 0.02, speed 87.63 f/s
152445: done 97 games, mean reward -16.361, eps 0.02, speed 87.60 f/s
154375: done 98 games, mean reward -16.010, eps 0.02, speed 87.50 f/s
156969: done 99 games, mean reward -15.768, eps 0.02, speed 87.46 f/s
160174: done 100 games, mean reward -15.640, eps 0.02, speed 87.81 f/s
163266: done 101 games, mean reward -15.460, eps 0.02, speed 87.23 f/s
165482: done 102 games, mean reward -15.120, eps 0.02, speed 88.05 f/s
167431: done 103 games, mean reward -14.760, eps 0.02, speed 88.63 f/s
169598: done 104 games, mean reward -14.420, eps 0.02, speed 87.65 f/s
171933: done 105 games, mean reward -14.100, eps 0.02, speed 86.37 f/s
173922: done 106 games, mean reward -13.730, eps 0.02, speed 87.42 f/s
176420: done 107 games, mean reward -13.400, eps 0.02, speed 86.37 f/s
178470: done 108 games, mean reward -13.040, eps 0.02, speed 87.27 f/s
180711: done 109 games, mean reward -12.680, eps 0.02, speed 87.36 f/s
182738: done 110 games, mean reward -12.320, eps 0.02, speed 87.26 f/s
184910: done 111 games, mean reward -11.970, eps 0.02, speed 87.75 f/s
186671: done 112 games, mean reward -11.580, eps 0.02, speed 87.45 f/s
188405: done 113 games, mean reward -11.210, eps 0.02, speed 87.10 f/s
